Name:CatLog35




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
11/27/2024, 06:21:40, -6.158915, 39.1976083, 174, 3, 1.9, 2.1, 27, 11.112, 59, 0, 0
11/27/2024, 06:34:00, -6.1363167, 39.2105233, 174, 4, 1.5, 1.8, 25, 0, 49, 0, 0
11/27/2024, 06:34:02, -6.1362383, 39.2105383, 136, 4, 1.5, 1.8, 26, 0, 1, 0, 0
11/27/2024, 06:39:15, -6.136475, 39.2109833, 74, 4, 1.5, 1.8, 25, 0, 12, 0, 0
11/27/2024, 06:44:29, -6.1364667, 39.2109517, 72, 4, 1.5, 1.8, 25, 1.852, 13, 0, 0
11/27/2024, 06:49:33, -6.1365267, 39.2109667, 74, 4, 1.5, 1.8, 25, 0, 3, 0, 0
11/27/2024, 06:54:41, -6.136435, 39.2110117, 74, 4, 1.5, 1.8, 26, 0, 7, 0, 0
11/27/2024, 06:59:45, -6.1362683, 39.21137, 74, 4, 1.5, 1.8, 26, 0, 4, 0, 0
11/27/2024, 07:04:54, -6.1364017, 39.21099, 74, 4, 1.5, 1.8, 27, 0, 7, 0, 0
11/27/2024, 07:09:58, -6.136465, 39.2108767, 54, 4, 1.6, 1.9, 27, 0, 3, 0, 0
11/27/2024, 07:15:02, -6.136525, 39.2109917, 54, 4, 1.6, 1.9, 27, 0, 3, 0, 0
11/27/2024, 07:20:08, -6.1364983, 39.2108633, 54, 4, 1.7, 1.9, 27, 0, 5, 0, 0
11/27/2024, 07:25:15, -6.1364083, 39.2111367, 30, 4, 1.7, 2.0, 27, 0, 6, 0, 0
11/27/2024, 07:30:20, -6.1363583, 39.2110833, -4, 4, 1.8, 2.0, 27, 1.852, 4, 0, 0
11/27/2024, 07:35:26, -6.1363883, 39.2110717, -6, 4, 1.9, 2.1, 27, 0, 5, 0, 0
11/27/2024, 07:40:33, -6.1363617, 39.211135, 0, 4, 2.0, 2.2, 27, 0, 6, 0, 0
11/27/2024, 07:45:45, -6.1364417, 39.211015, 18, 4, 2.0, 2.2, 27, 0, 11, 0, 0
11/27/2024, 07:50:53, -6.136425, 39.2110417, 18, 4, 2.1, 2.3, 27, 0, 7, 0, 0
11/27/2024, 07:56:06, -6.1364433, 39.2110017, 14, 4, 2.2, 2.4, 28, 0, 11, 0, 0
11/27/2024, 08:01:09, -6.1363117, 39.2111717, -12, 4, 2.3, 2.4, 28, 0, 2, 0, 0
11/27/2024, 08:06:18, -6.13639, 39.2111, -10, 4, 2.3, 2.5, 28, 0, 8, 0, 0
11/27/2024, 08:11:55, -6.1363167, 39.21105, 2, 7, 1.1, 1.4, 28, 0, 36, 0, 0
11/27/2024, 08:16:58, -6.136365, 39.2109717, 0, 6, 1.1, 1.5, 28, 3.704, 2, 0, 0
11/27/2024, 08:22:01, -6.1364017, 39.2110567, -2, 5, 1.2, 1.6, 28, 0, 2, 0, 0
11/27/2024, 08:27:04, -6.13639, 39.2110617, 4, 7, 0.9, 1.3, 28, 0, 2, 0, 0
11/27/2024, 08:32:07, -6.1364533, 39.2111633, 8, 6, 1.1, 1.5, 29, 0, 2, 0, 0
11/27/2024, 08:37:11, -6.1363617, 39.2111183, -4, 6, 1.2, 1.5, 29, 0, 3, 0, 0
11/27/2024, 08:42:17, -6.1363317, 39.211055, -8, 6, 1.4, 1.7, 29, 0, 5, 0, 0
