"Date","Time","Latitude","Longitude","Altitude","Satellites","HDOP","PDOP","Temperature..C.","Speed..km.h.","TTFF","SNR.AVG","SNR.MAX"
"11/29/2024"," 06:18:24",-6.90297,39.9267817,24,8,0.9,1.2,33,0,63,0,0
"11/29/2024"," 06:23:38",-6.907735,39.9311833,22,6,1.2,1.5,29,1.852,13,0,0
"11/29/2024"," 06:28:41",-6.9029833,39.9267383,22,7,0.9,1.2,30,0,2,0,0
"11/29/2024"," 06:33:45",-6.90297,39.9267383,20,5,1.4,1.7,30,0,2,0,0
"11/29/2024"," 06:38:48",-6.902975,39.9267617,20,5,1.4,1.6,30,0,2,0,0
"11/29/2024"," 06:43:52",-6.9029317,39.9266883,24,6,1.1,1.4,31,0,3,0,0
"11/29/2024"," 06:48:55",-6.903015,39.9267483,28,7,0.9,1.3,32,0,2,0,0
"11/29/2024"," 06:53:58",-6.9029283,39.9267733,22,8,0.8,1.2,33,5.556,2,0,0
"11/29/2024"," 06:59:06",-6.90299,39.9267067,30,7,0.9,1.3,33,1.852,6,0,0
"11/29/2024"," 07:04:09",-6.9029583,39.9267833,22,7,1,1.4,33,7.408,2,0,0
"11/29/2024"," 07:09:12",-6.903035,39.9266567,22,8,0.8,1.2,33,7.408,2,0,0
"11/29/2024"," 07:14:15",-6.9029283,39.9268,26,4,1.6,1.9,34,0,2,0,0
"11/29/2024"," 07:19:19",-6.9030633,39.92668,24,6,1.2,1.5,34,5.556,2,0,0
"11/29/2024"," 07:24:22",-6.902985,39.926765,24,8,0.8,1.2,34,1.852,2,0,0
"11/29/2024"," 07:29:26",-6.9029283,39.9267917,24,7,0.9,1.2,35,0,3,0,0
"11/29/2024"," 07:34:30",-6.9029367,39.926815,26,8,0.8,1.2,35,0,3,0,0
"11/29/2024"," 07:39:34",-6.90289,39.9267817,26,6,1,1.3,35,0,3,0,0
"11/29/2024"," 07:44:43",-6.9028467,39.9268967,24,5,1.2,1.5,35,0,7,0,0
"11/29/2024"," 07:49:47",-6.9029733,39.9268217,14,7,1,1.3,36,1.852,4,0,0
"11/29/2024"," 07:54:51",-6.9028417,39.9268683,26,7,0.9,1.2,35,12.964,2,0,0
"11/29/2024"," 07:59:54",-6.9029117,39.9268333,26,7,0.9,1.2,36,7.408,2,0,0
"11/29/2024"," 08:04:59",-6.9029633,39.92683,24,6,1,1.3,36,0,4,0,0
"11/29/2024"," 08:10:03",-6.9029967,39.9268783,20,7,0.9,1.2,35,0,2,0,0
"11/29/2024"," 08:15:08",-6.9029317,39.9268117,24,7,0.9,1.2,34,3.704,4,0,0
"11/29/2024"," 08:20:11",-6.90304,39.9268183,26,5,1.6,1.9,34,31.484,2,0,0
"11/29/2024"," 08:25:14",-6.9029933,39.9268317,26,6,1,1.3,34,12.964,2,0,0
"11/29/2024"," 08:30:17",-6.903055,39.926845,26,6,1.2,1.5,34,12.964,2,0,0
"11/29/2024"," 08:35:24",-6.9029067,39.92683,28,6,1,1.4,35,0,5,0,0
"11/29/2024"," 08:40:30",-6.9029083,39.9268183,28,7,0.9,1.2,35,3.704,5,0,0
"11/29/2024"," 08:45:35",-6.9029567,39.9268067,28,4,1.7,2,35,0,4,0,0
"11/29/2024"," 08:50:41",-6.9029417,39.92686,22,4,1.7,1.9,36,0,5,0,0
"11/29/2024"," 08:55:49",-6.9029917,39.9268267,24,4,1.6,1.8,36,0,6,0,0
"11/29/2024"," 09:00:53",-6.9028483,39.9268483,20,4,1.6,1.8,36,0,3,0,0
"11/29/2024"," 09:06:04",-6.9029217,39.9268383,30,5,1.1,2.2,36,0,10,0,0
"11/29/2024"," 09:11:07",-6.902815,39.9268183,8,4,1.5,1.8,36,0,2,0,0
"11/29/2024"," 09:16:12",-6.9030233,39.92682,16,4,1.5,1.8,36,0,4,0,0
"11/29/2024"," 09:21:15",-6.90298,39.9267883,16,4,1.4,1.7,37,1.852,2,0,0
"11/29/2024"," 09:26:21",-6.9028767,39.926825,10,4,1.4,1.7,37,0,5,0,0
"11/29/2024"," 09:31:27",-6.9029117,39.9268067,-4,5,1.1,1.4,37,0,5,0,0
"11/29/2024"," 09:36:31",-6.9028717,39.926815,2,5,1.1,1.4,37,0,3,0,0
"11/29/2024"," 09:41:35",-6.9029417,39.926795,2,4,1.2,1.5,37,0,3,0,0
"11/29/2024"," 09:46:41",-6.902885,39.926845,-4,5,1.1,1.4,37,1.852,5,0,0
"11/29/2024"," 09:51:49",-6.9028217,39.9267867,-22,5,1.1,1.4,38,3.704,6,0,0
"11/29/2024"," 09:56:55",-6.90294,39.9268367,-22,4,1.2,1.6,38,3.704,5,0,0
"11/29/2024"," 10:02:05",-6.9083267,39.9228817,0,4,1.3,1.6,37,0,9,0,0
"11/29/2024"," 10:07:25",-6.9081717,39.9214083,8,3,1.5,1.8,28,1.852,19,0,0
"11/29/2024"," 10:12:32",-6.9028983,39.9267883,-6,4,1.3,1.6,30,0,6,0,0
"11/29/2024"," 10:17:37",-6.9028967,39.926845,12,4,1.3,1.6,31,0,3,0,0
"11/29/2024"," 10:22:56",-6.902945,39.9268917,18,4,1.3,1.6,33,0,18,0,0
"11/29/2024"," 10:27:59",-6.9028183,39.9268383,6,8,0.8,1.2,34,0,2,0,0
"11/29/2024"," 10:33:07",-6.9029767,39.9267983,10,7,1,1.3,34,0,7,0,0
"11/29/2024"," 10:38:10",-6.902795,39.9269283,0,5,1.3,1.6,35,0,2,0,0
"11/29/2024"," 10:43:13",-6.9149617,39.9232433,0,7,0.9,1.3,35,59.264,2,0,0
"11/29/2024"," 10:48:16",-6.9311383,39.9229433,0,8,0.8,1.2,31,7.408,2,0,0
"11/29/2024"," 10:53:20",-6.92822,39.9206033,0,6,0.9,1.3,30,3.704,2,0,0
"11/29/2024"," 10:58:24",-6.9356483,39.9233283,8,5,1.3,1.6,30,31.484,3,0,0
"11/29/2024"," 11:03:27",-6.9405433,39.9241383,-2,7,0.9,1.3,30,3.704,2,0,0
"11/29/2024"," 11:08:32",-6.9611867,39.9347583,-2,7,1,1.3,30,35.188,4,0,0
"11/29/2024"," 11:13:36",-6.9843733,39.9534067,0,6,1,1.4,31,44.448,2,0,0
"11/29/2024"," 11:18:41",-7.0106883,39.9714267,-4,7,1,1.3,31,25.928,5,0,0
"11/29/2024"," 11:23:48",-7.0083633,39.970905,14,7,1,1.3,30,1.852,5,0,0
"11/29/2024"," 11:28:52",-7.0077333,39.970515,0,7,1,1.3,30,48.152,3,0,0
"11/29/2024"," 11:34:02",-7.0229617,39.9651067,64,7,1,1.3,29,53.708,9,0,0
"11/29/2024"," 11:39:05",-7.049985,39.93767,6,6,1.3,1.6,30,25.928,2,0,0
"11/29/2024"," 11:44:17",-7.0535083,39.9346817,-60,6,1,1.4,30,35.188,11,0,0
"11/29/2024"," 11:49:25",-7.0525483,39.937475,30,7,1,1.3,30,40.744,6,0,0
